"IDRSSD"	RCONFT04	RCONFT05	RCONHT81	RCONHT82	RCONHT86	RCONL191	RCONL192	RCONM288	RIADHT85	
	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	Retail originations during the quart	Wholesale originations and purchases	Repurchases and indemnification of 1	REP AND WARRNTY TO US GOVT AGCY	REP AND WARRNTY TO OTHR PARTIES	REP WARRNTY TO US GOVT AGCY TOTAL	Noninterest income for the quarter f	
172475						CONF	CONF			
172859						CONF	CONF			
173306						CONF	CONF			
173557						CONF	CONF			
173575						CONF	CONF			
173641						CONF	CONF			
173959						CONF	CONF			
174321						CONF	CONF			
174367						CONF	CONF			
174572	12240	0	3675	0	0	CONF	CONF	0	15	
175056	0	0	0	0	0	CONF	CONF	0	0	
175140						CONF	CONF			
175458						CONF	CONF			
175609						CONF	CONF			
176101	0	0	0	0	0	CONF	CONF	0	0	
176325	0	0	0	0	0	CONF	CONF	0	0	
176437						CONF	CONF			
176464	3501	0				CONF	CONF			
176642						CONF	CONF			
177135						CONF	CONF			
177443						CONF	CONF			
177500						CONF	CONF			
177555						CONF	CONF			
177751						CONF	CONF			
177920						CONF	CONF			
178150						CONF	CONF			
178244						CONF	CONF			
178356						CONF	CONF			
178851						CONF	CONF			
179148						CONF	CONF			
179335						CONF	CONF			
179700						CONF	CONF			
180144						CONF	CONF			
180845						CONF	CONF			
181963						CONF	CONF			
182951						CONF	CONF			
183668						CONF	CONF			
183770						CONF	CONF			
183958						CONF	CONF			
184656	0	0	0	0	0	CONF	CONF	0	0	
184759						CONF	CONF			
185251						CONF	CONF			
185448	0	0	0	0	0	CONF	CONF	0	0	
185859	5002	0				CONF	CONF			
186221	994	0	883	0	0	CONF	CONF	0	-4	
186717						CONF	CONF			
186744						CONF	CONF			
187648						CONF	CONF			
187947	13580	2278	233	14660	0	CONF	CONF	0	387	
188056						CONF	CONF			
188177						CONF	CONF			
188430	250704	63458	6932	263475	543	CONF	CONF	197	712	
188449						CONF	CONF			
188720						CONF	CONF			
188739						CONF	CONF			
188917						CONF	CONF			
189129						CONF	CONF			
189950						CONF	CONF			
190563						CONF	CONF			
190648						CONF	CONF			
190947						CONF	CONF			
190956						CONF	CONF			
191355						CONF	CONF			
191935						CONF	CONF			
192147	0	0	0	0	0	CONF	CONF	0	0	
192558						CONF	CONF			
192651						CONF	CONF			
192857						CONF	CONF			
193162						CONF	CONF			
193537						CONF	CONF			
193649						CONF	CONF			
193809	16559	1871	17266	0	0	CONF	CONF	0	179	
194440						CONF	CONF			
194570						CONF	CONF			
194936						CONF	CONF			
195111	2653	935				CONF	CONF			
195157						CONF	CONF			
195456						CONF	CONF			
196752						CONF	CONF			
196800	3923	0	0	0	0	CONF	CONF	0	155	
197142						CONF	CONF			
197254	0	0	0	0	0	CONF	CONF	0	0	
197302						CONF	CONF			
197478	0	0	0	0	0	CONF	CONF	0	0	
197759						CONF	CONF			
198073						CONF	CONF			
198149						CONF	CONF			
198251	13850	731				CONF	CONF			
198961						CONF	CONF			
199137						CONF	CONF			
199351						CONF	CONF			
199436						CONF	CONF			
199463						CONF	CONF			
200435						CONF	CONF			
201254						CONF	CONF			
201834	6702	0	6467	0	0	CONF	CONF	0	84	
202514						CONF	CONF			
202541						CONF	CONF			
