"IDRSSD"	RIADA491	RIADB904	RIADB905	RIADB906	RIADB907	RIADB909	RIADB910	RIADB911	RIADB912	RIADB947	RIADB948	RIADB949	RIADB950	RIADB951	RIADB952	RIADB953	RIADB954	RIADB955	RIADB956	RIADB957	RIADB958	RIADB959	RIADB960	RIADB961	RIADC058	RIADJ315	RIADJ316	
	NET TRUST INCOME (LOSS)	PERSONAL TRUST AND AGENCY ACCOUNTS	EMPLOYEE BENEFIT-DEFINED CONTRIBUTN	EMPLOYEE BENEFIT-DEFINED BENEFIT	OTHER RETIREMENT ACCOUNTS	CUSTODY AND SAFEKEEPING ACCOUNTS	OTH FIDUCIARY/RELATED SERVICES INCME	PLUS:INTRACMPNY INCM CRDTS FOR FIDUC	FIDUCIARY/RELTD SRVCS INCM-FRGN OFFS	PRSNL TRST/AGCY ACCTS-GROSS LOSS,ETC	PRSNL TRST/AGCY ACCTS-GROSS LOSS NON	PERSONAL TRUST/AGCY ACCTS-RECOVERIES	RETIREMT RLTD TRST,ETC-GROSS LOSS MN	RETIREMT RLTD TRST,ETC-GROSS LOS NON	RETIREMT RELATED TRST,ETC-RECOVERIES	INVMT MNGEMT AGCY ACCTS-GROS LOS MNG	INVMT MNGEMT AGCY ACCTS-GROS LOS NON	INVTMT MNGEMT AGCY ACCTS-RECOVERIES	OTH FIDU ACCTS/RLTD SVCS-GROS LOS MN	OTH FID ACCTS/RLTD SVCS-GROS LOS NON	OTH FIDU ACCTS/RLTD SVCS-RECOVERIES	TOT FIDU SETTLEMTS,ETC-GROS LOSS MN	TOT FIDU SETTLEMTS,ETC-GROS LOSS NON	TOT FIDU SETTLEMENTS,ETC-RECOVERIES	LESS: EXPENSES	FID REL SRVC INC INV MGMT ADVIS AGY 	FID REL SRVC INC FOUND ENDW TR AGY A	
342634		3428	916	116	901	1631	319																			3624	294	
343051																												
343248																												
343770																												
343903																												
343958																												
344647																												
344852																												
345309																												
345345																												
345747																												
345756																												
345877																												
346379																												
346566																												
346771																												
347022																												
347639																												
347956																												
348159																												
348720																												
349129																												
349343																												
350657																												
350750																												
351131																												
351560																												
351878																												
352370																												
352651																												
352745																												
352772																												
353238																												
353546																												
353555		3199	1398	17	1173	4	0																			4019	826	
353957																												
354253																												
354310		1997	5	145	318	119	0																			1489	232	
354552																												
354851																												
355120																												
355559																												
355858																												
356239																												
356659																												
356752																												
357526																												
357553																												
357777																												
357937																												
358112																												
358448																												
358756																												
359472																												
359744																												
360777																												
361055		1161	0	0	297	34	0																			690	35	
361167		1849	143	9	303	147	0																			1130	56	
361279																												
361354																												
361439																												
362043																												
362155																												
362717		405	95	18	412	60	0																			321	29	
362856																												
362940																												
363442																												
363648																												
363657																												
363778																												
364131																												
364270																												
364430																												
364850																												
365325		2281	429	236	441	444	610																			3957	1220	
365745		3	0	0	0	0	0																			604	0	
365848																												
365950																												
366078																												
366238																												
366247																												
366359																												
366658																												
366854																												
367150																												
367178																												
367431																												
367543																												
368054																												
368344																												
368522																												
368951																												
369453																												
369659																												
370020																												
370347																												
370721																												
370833																												
370954																												
371223																												
371232																												
371362																												
371559																												
371755																												
371849																												
371924																												
371942																												
372444																												
372538																												
372640																												
372855																												
373272																												
373553																												
373601																												
374130																												
374653		1580	245	0	527	980	0																			1500	970	
374774																												
375043																												
375379																												
375502																												
375566																												
375650																												
376237																												
376273																												
376442																												
376947																												
377663																												
377850																												
378044																												
378110																												
379050																												
379153																												
379470																												
379649																												
379920		4300	2301	777	2439	6340	1171																			7127	139	
380346																												
380458																												
380533																												
380878																												
380944																												
381026																												
381932																												
381950																												
382050																												
382069																												
