"IDRSSD"	RCFA2170	RCFA3128	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAJJ30	RCFAJJ31	RCFAJJ32	RCFAKW00	RCFAKW03	RCFAKX77	RCFAKX78	RCFAKX79	RCFAKX80	RCFAKX81	RCFAKX82	RCFAKX83	RCFALB58	RCFALB59	RCFALB60	RCFALB61	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP852	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ258	RCFAS540	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP851	RCFWP852	RCFWP853	RCFWP854	RCFWP855	RCFWP856	RCFWP857	RCFWP858	RCFWP859	RCFWP870	RCOA2170	RCOA3128	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAJJ30	RCOAJJ31	RCOAJJ32	RCOAKW00	RCOAKW03	RCOAKX77	RCOAKX78	RCOAKX79	RCOAKX80	RCOAKX81	RCOAKX82	RCOAKX83	RCOALB58	RCOALB59	RCOALB60	RCOALB61	RCOALE74	RCOANC99	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP852	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ258	RCOAS540	RCOWH312	
597452																																																																																				330576	0				10.3350%			34087		329821	-4	0						0	0	0	0	20762	332598	0	0.0000%	37246	0	280	37526	11.3517%	0	0	0	0	1		16102		1	0	36860	0	2777	0	-4	0	0	0		0	34087	0	0	34087	0	0	0	0	0	0						2777	0	0		
597546																																																																																						49896	4086	4086	8.2763%	12.4299%	11.4120%	45810	401418	553505	-8302	0			4.4299%			0				34305	554863								0	0	318		0		12863	11.4120%	1	0	38866	410	630	0	-8302	0	0	0		0	46128	0	318	45810	0	0	0	0	0	0	0	0	0	4086	0	1358	0			
597658																																																																																				150814	0				12.1480%			18140		149325	-4924	0						0	0	0	0	8140	149325	0	0.0000%	12760	0	13	12773	8.4694%	0	0	0	0	1		10000		1	0	13216	0	0	0	-4924	0	0	0		0	18140	0	0	18140	0	0	0	0	0	0						0	0	0		
598002																																																																																						74795	6284	6284	8.4670%	14.1417%	12.9535%	68511	528898	809153	-10041	0			6.1417%			0				54516	809153								0	0	0		0		13995	12.9535%	1	0	58470	0	0	0	-9952	0	-89	0		0	68511	0	0	68511	0	0	0	0	0	0	0	0	0	6284	0	0	0			
598048																																																																																				686522	0				9.7022%			67484		695556	-10441	0						0	0	0	0	50864	697001	0	0.0000%	75681	7094	2332	85107	12.3968%	0	0	0	0	1		18065		1	0	58488	1445	0	0	-7721	0	0	-2720		0	67484	0	0	67484	0	0	0	0	0	0						1445	0	9478		
598132																																																																																						9825	510	510	14.6778%	24.1941%	22.9383%	9315	40609	63463	-828	0			16.1941%			0				5315	63463								0	0	0		0		4000	22.9383%	1	0	8487	0	0	0	-828	0	0	0		0	9315	0	0	9315	0	0	0	0	0	0	0	0	0	510	0	0	0			
598543																																																																																						12654	787	787	11.2768%	16.3674%	15.3495%	11867	77312	105234	-1297	0			8.3674%			0				7072	105234								0	0	0		0		4795	15.3495%	1	0	10570	0	0	0	-1297	0	0	0		0	11867	0	0	11867	0	0	0	0	0	0	0	0	0	787	0	0	0			
599643																																																																																						22754	1659	1659	8.7160%	11.0208%	10.2173%	21095	206464	242025	-1309	0			3.0208%			0				18977	246264								0	0	0		0		6357	10.2173%	1	0	24025	2974	1265	0	-1309	0	0	0		0	21095	0	0	21095	0	0	0	0	0	0	0	0	0	1659	0	4239	0			
599764																																																																																						546001	47740	47740	8.7016%	13.5357%	12.3522%	498261	4033790	5726064	-237461	0			5.5357%			0				383194	5749440								0	0	0		0		138443	12.3522%	1	0	284176	23366	10	0	-235593	-1868	0	0		0	498261	0	0	498261	0	0	0	0	0	0	0	0	0	47740	0	23376	0			
600419																																																																																						172077	11492	11492	8.9051%	10.5453%	9.8411%	160585	1631782	1803288	-11962	0			2.5453%			0				132540	1806806								0	0	0		0		31563	9.8411%	1	0	152141	3051	467	0	-12683	721	0	0		0	160585	0	0	160585	0	0	0	0	0	0	0	0	0	11492	0	3518	0			
601032																																																																																				37053	0				14.4139%			5495		38123	-351	0						0	0	0	0	4995	38123	0	0.0000%	2180	0	5625	7805	21.0644%	0	0	0	0	1		500		1	0	5144	0	0	0	-351	0	0	0		0	5495	0	0	5495	0	0	0	0	0	0						0	0	0		
601041																																																																																						17137	939	939	14.8240%	22.9426%	21.6855%	16198	74695	109269	-33	0			14.9426%			0				14598	109269								0	0	0		0		1600	21.6855%	1	0	16165	0	0	0	-33	0	0	0		0	16198	0	0	16198	0	0	0	0	0	0	0	0	0	939	0	0	0			
601050																																																																																						3653790	181265	181265	10.9071%	15.5340%	14.7634%	3472525	23521176	31837413	-569102	0			7.5340%			0				2420843	31979785								0	0	0		0		1194054	14.7634%	1	0	3045795	138633	3739	0	-573032	3930	0	0		0	3472525	0	0	3472525	0	0	0	0	0	0	0	0	0	181265	0	142372	0			
601153																																																																																						20171	1740	1740	11.5524%	14.4946%	13.2443%	18431	139162	159543	-1492	0			6.4946%			0				13931	159543								0	0	0		0		4500	13.2443%	1	0	16939	0	0	0	-1492	0	0	0		0	18431	0	0	18431	0	0	0	0	0	0	0	0	0	1740	0	0	0			
601416																																																																																						674080	51221	51221	10.0693%	12.9030%	11.9225%	622859	5224210	6185738	-42214	-9611			4.9030%			0				361952	6222300								0	0	0		0		307080	11.9225%	1	0	626818	46173	0	0	-34614	2036	-9547	-89		0	622859	0	0	622859	0	0	0	0	0	0	0	0	0	51221	0	46173	0			
601443																																																																																				402401	0				14.1283%			57121		404302	-5312	0						0	0	0	0	51153	404334	0	0.0000%	62529	0	624	63153	15.6940%	0	0	0	0	1		6000		1	0	51841	32	0	0	0	0	0	-5312		0	57121	0	0	57121	0	0	0	0	0	0						32	0	0		
601658																																																																																						130890	9273	9273	12.0540%	15.0073%	13.9441%	121617	872178	1008933	-5429	0			7.0073%			0				34739	1011009								0	0	0		0		88954	13.9441%	1	0	118264	2076	0	0	-5429	0	0	0		0	121617	0	0	121617	0	0	0	0	0	0	0	0	0	9273	0	2076	0			
602543																																																																																				468305	0				9.3275%			43643		467896	-7784	0						0	0	0	0	26637	477029	0	0.0000%	36311	0	946	37257	7.9557%	0	0	0	0	1		26139		1	0	44992	5716	3417	0	-7784	0	0	0		0	43643	0	0	43643	0	0	0	0	0	0						9133	0	0		
602842																																																																																						1848	120	120	9.5856%	14.9575%	13.9862%	1728	12355	18027	0	0			6.9575%			0				728	18027								0	0	0		0		1000	13.9862%	1	0	1728	0	0	0	0	0	0	0		0	1728	0	0	1728	0	0	0	0	0	0	0	0	0	120	0	0	0			
603232																																																																																				72701	0				21.2985%			15428		72437	2	0						0	0	0	0	9626	72437	0	0.0000%	0	0	130	130	0.1788%	0	0	0	0	1		5800		1	0	15428	0	0	0	0	0	0	0		0	15428	0	0	15428	0	0	0	0	0	0						0	0	0		
