"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37	9	40													11	3													true	true	
242	105	89													31	35													true	true	
593007			113	4103	362	43651	584	223166	2052	29261	377	30251	280	57225			1	47	3	328	1	260	204	3044	55	5203	36	6811	false	false	
593052			11	525	33	4402	50	22526	135	4134	91	8774	68	18734			23	901	51	4824	76	20609	190	6686	97	8949	81	24312	false	false	
593249			47	1592	40	5373	31	7445	199	5054	27	2409	16	6703			100	2853	27	3218	9	2138	29	577	4	502	0	0	false	false	
593333			25	1098	18	2424	11	3876	77	1792	10	1171	16	5204			15	705	25	2816	19	4011	41	959	12	1364	16	3027	false	false	
593771																													false	false	
593940			12	402	4	524	7	3392	70	1421	9	848	2	677			7	318	17	2508	11	3313	127	3038	24	2944	4	649	false	false	
594433			114	4762	208	26472	308	118207	432	11145	158	17549	78	26394			67	2624	47	6215	17	4735	61	1392	21	1682	6	1886	false	false	
594451			0	0	1	166	11	4842	75	2019	66	7871	56	18624															false	false	
594853			60	2241	91	10817	181	81503	331	11303	104	14399	92	24667			14	702	13	1652	10	2886	1	38	1	89	0	0	false	false	
594938			58	2319	69	8779	74	25287	200	5412	73	7042	37	11887			41	1815	60	7528	62	15769	138	3804	57	5766	35	7118	false	false	
594947			243	9689	419	48208	656	244814	655	22003	264	28542	320	124916			95	3617	163	13734	88	19941	154	4008	52	6613	36	8556	false	false	
595270			106	5430	397	55648	1676	780905	4035	33982	545	28384	724	137944			0	0	0	0	0	0	0	0	0	0	1	223	false	false	
595337			60	1875	26	2917	14	4736	195	4038	26	2590	4	1947			13	409	9	943	1	428	11	268	4	338	1	363	false	false	
595430			19	1016	73	8623	102	37143	9516	99476	711	71672	453	139394			1	55	0	0	0	0	7	129	0	0	0	0	false	false	
595869			3	260	87	13841	1148	612664	858	20158	327	41706	253	115227			0	0	0	0	1	345	0	0	0	0	0	0			
595944			9	451	5	562	1	313	52	980	8	703	3	805			11	477	29	2992	19	4104	57	1348	23	2577	19	4081	false	false	
596062			125	5570	191	23559	137	47524	1484	32383	111	12057	45	15461			279	12062	199	25693	94	25877	1031	18103	38	4017	12	3065	false	false	
596156			44	2345	92	13928	215	95344	143	4126	28	3703	25	9574															false	false	
596277			11	507	12	1982	12	3850	0	0	0	0	0	0															false	false	
596455			11	367	30	3409	42	11649	132	2781	20	1601	7	1597			2	48	1	75	1	352	8	193	8	909	3	699	false	false	
596978			2	75	12	1373	32	14569	29	666	19	1323	10	1594															false	false	
597041			6	310	18	2210	19	7589	40	325	28	2068	20	4934			3	87	7	907	6	1371	23	486	5	406	14	4645	false	false	
597313			77	2819	103	13075	100	35940	398	14074	125	10527	59	14716			8	303	5	649	12	3576	8	216	4	371	0	0	false	false	
597452			33	1692	50	5956	97	31427	88	3395	37	2529	40	8291			7	227	2	116	4	1110	0	0	0	0	0	0	false	false	
597546			112	5631	94	11747	81	28251	132	3653	31	2444	28	7999			71	4061	55	7843	59	15612	143	4353	20	2961	6	758	false	false	
597658			19	1000	29	3850	24	5921	32	2940	28	4798	28	3288			12	828	28	3806	42	5995	42	3643	52	10777	31	6070	false	false	
598002			24	957	57	7144	151	58083	265	5895	73	5262	78	16445			0	0	0	0	3	1040	1	33	0	0	0	0	false	false	
598048			114	4422	115	13856	151	61959	286	7437	102	11011	78	25430			0	0	1	101	0	0	0	0	0	0	0	0	false	false	
598132			67	1765	21	2409	13	4190	158	3124	9	842	8	2148			44	1197	13	1876	4	1043	11	211	0	0	1	1	false	false	
598543			5	149	3	266	0	0	27	583	6	775	2	540			14	691	15	1952	11	2554	420	13268	224	20753	48	10055	false	false	
599643			23	979	36	4707	36	13627	84	2492	26	2755	28	7271			122	6232	105	12954	56	11334	153	3796	23	2417	15	3938	false	false	
599764			35	905	165	16778	421	154011	707	12460	263	18110	255	51699			53	2672	195	25986	62	17821	42	772	13	934	5	907	false	false	
600419			80	2659	105	12521	176	71530	884	14294	254	18824	253	55608			72	2256	64	6574	36	8704	122	2018	15	1525	3	1072	false	false	
601032			11	498	5	635	0	0	44	1038	9	1232	2	633			8	324	7	1087	4	701	31	409	6	435	1	15	false	false	
601041	155	266															23	1228	30	4421	15	4589	89	1845	13	1618	7	1570	false	true	
601050			158	6552	320	36362	562	204674	7095	78246	914	78686	952	271453			166	7043	250	29418	131	32808	812	18118	158	17439	86	19256	false	false	
601153			9	283	6	809	6	1932	79	2501	24	2075	17	5916			8	247	25	2732	19	3913	67	2145	44	4316	26	6393	false	false	
601416			78	608	102	7477	203	74821	1700	13175	211	11853	228	41031			8	18	10	350	7	711	164	1325	17	648	4	1073	false	false	
601443			44	1475	65	8109	61	21904	234	5898	43	4443	17	3964			2	28	6	727	5	1539	6	120	0	0	0	0	false	false	
601658			33	1420	66	8795	131	61698	266	6800	49	4375	56	18461			9	333	1	250	1	296	67	1291	3	387	0	0	false	false	
602543			47	1637	33	5075	24	8725	165	3952	44	4205	22	7372			39	1435	42	5993	36	10476	125	3226	41	3851	29	4755	false	false	
602842			7	119	1	194	0	0	8	69	2	153	0	0			6	88	9	1761	3	1014	12	211	9	1035	8	1663	false	false	
603232			23	349	3	364	4	1045	90	2077	11	1148	8	2515			16	634	8	927	2	481	23	2023	2	272	0	0	false	false	
603540			14	476	14	1974	8	3033	67	1578	14	1184	1	386			37	1499	46	5726	14	4857	106	2239	14	2018	3	519	false	false	
603559			2	36	1	124	2	911	50	1577	4	274	1	35			6	280	13	1619	9	3274	86	2135	17	1718	1	145	false	false	
603755			2	59	5	707	10	2259	42	1235	6	541	1	212			4	156	10	1524	4	972	21	440	0	0	0	0	false	false	
604024			61	2847	87	11698	116	44113	167	4752	52	3608	72	16865			10	347	18	1915	25	5742	36	847	14	1198	14	2390	false	false	
604033			3	94	1	180	1	347	9	322	1	125	0	0			0	0	2	119	3	702	1	17	0	0	1	355	false	false	
604547			29	1378	34	4361	37	13022	116	2929	37	3725	25	7375			6	204	18	2075	25	5896	77	1929	36	3178	38	6805	false	false	
