"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
2980209																																							8387000	524000	245000	0	724000	126000	0	1985000	46823000	37033000	1270000	40438000	0	2484000	2135000	0	6385000	1000	46823000	0	0	1915000	25000	625000	3847000	7469000	69000	36964000	1a	1231	0	27395000	24911000	-3000	0	2427000	0	0	6385000	0	0	
2986407																																							34314	21186	303503	0	18583	12470	0	106239	2062403	1828938	13880	1847410	0	19242	2150	0	214993	20	2062403	2442	2442	137722	0	0	92255	0	428406	1400532			0	1582908	1563666	-15004	0	0	0	0	214993	0	0	
2989006																																							24795	7070	170577	0	0	5143	730	10606	576762	511349	2385	525984	0	5690	12250	0	50778	3000	576762	0	0	44386	0	0	19436	0	88974	422375			0	363531	357841	-16044	0	0	0	0	50778	0	0	
2992547																																							0	510	0	0	0	1320	0	16154	4781510	1631165	43068	4012507	0	7942	2338274	0	769003	2000	4781510	0	0	675003	0	0	92000	0	10665	1620500			0	4771468	4763526	0	0	0	0	0	769003	0	0	
2997216																																							2956	4662	104149	0	0	5196	0	10165	413786	368927	2957	373884	0	2893	2000	0	39902	19232	413786	0	0	25128	0	0	0	0	145841	223086			0	289194	286301	-4458	273	0	0	0	39902	84	0	
2997748																																							175852	1974	427621	0	605	3329	0	10941	739653	608408	3498	611906	0	517	0	0	127747	3000	739653	0	0	38240	0	0	88518	0	458119	150289			0	115848	115331	-2011	0	0	0	0	127747	0	4000	
2998576																																							273109	2144	67	0	32125	24395	649	133684	4546280	3284772	107982	3743830	0	56159	351076	0	802450	100	4546280	0	0	795509	0	0	6841	382244	223074	3061698			0	3337132	3280973	0	73140	0	0	0	802450	0	343750	
3005097																																							17847	1254	2835	0	0	1588	0	3115	88790	75741	647	76388	0	602	0	0	12402	1500	88790	0	0	9420	0	0	1500	572	19068	56673			0	56914	56312	-18	0	0	0	0	12402	26	5241	
3010363																																							2822	3668	76539	0	42	6299	0	6199	237422	204249	1476	207119	0	1955	1394	0	30303	6488	237422	0	0	13930	0	0	10739	0	45590	158659			0	129370	127415	-854	14438	0	0	0	30303	0	0	
3015939																																							219754	2755	135980	0	11499	18701	0	9025	732643	612953	7545	620498	0	2786	0	0	112145	1000	732643	0	0	89758	0	0	20967	0	2445	610508			0	272780	269994	420	240	0	0	0	112145	64695	0	
3016347																																							232670	5224	56426	0	10619	56440	0	64770	2723145	2187556	61431	2473987	0	24948	225000	0	249158	9825	2723145	0	0	62705	0	0	178725	488732	562588	1624968			0	1756164	1731216	-2097	35631	0	0	0	249158	0	41417	
3017081																																							0	166	527494	0	0	0	0	40085	587491	50500	132467	182967	0	0	0	0	404524	1	587491	0	0	312465	0	0	104000	0	0	50500			0	0	0	-11942	0	0	0	0	404524	19746	0	
3019982																																							18497	4819	187269	0	69	2106	0	56373	1029981	855322	8796	924243	0	7138	60125	0	105738	72	1029981	0	0	44059	0	0	76488	7183	127013	728309			0	741461	734323	-14881	0	0	0	0	105738	0	19342	
3020447																																							50643	3225	81149	0	0	1117	709	3805	311461	289939	1974	291913	0	2965	0	0	19548	1949	311461	0	0	22280	0	0	16271	0	70095	219844			0	170993	168028	-20952	2785	0	0	0	19548	0	0	
3022610																																							50074	615	49687	0	0	4073	0	4471	354298	323441	4638	328079	0	3067	0	0	26219	2423	354298	0	0	17797	0	0	10496	0	58874	264567			0	248445	245378	-4497	0	0	0	0	26219	0	0	
3025929																																							6899	13963	48993	0	25	3204	21	4143	149584	136736	527	137263	0	1415	0	0	12321	1625	149584	0	0	1993	0	0	12423	0	39378	97358			0	57797	56382	-3720	0	0	0	0	12321	0	15954	
3027763																																							32790	1869	16284	0	0	2503	0	7155	486125	328978	2913	444391	0	4815	112500	0	41734	3260	486125	0	0	14242	0	0	24777	0	60755	268223			0	421351	416536	-545	0	0	0	0	41734	0	8988	
3029253																																							0	1342	6549	905	0	0	0	3588	14029	500	1073	1573	0	0	0	0	12456	423	14029	0	0	167	0	0	11886	0	0	500			0	0	0	-20	0	0	0	0	12456	1645	0	
3029589																																							75157	15062	69201	25599	15427	48841	0	294135	2768577	1890784	256072	2315191	0	24748	109735	0	453386	5000	2768577	83225	0	345842	0	0	118930	425	259643	1631141			0	1894169	1869421	-16386	0	0	58600	0	453386	1935	270149	
3032833																																							312	921	4480	0	0	2414	0	315	30316	24043	64	24107	0	391	0	0	6209	2380	30316	0	0	2911	0	0	1120	0	10445	13598	4	1231	0	18527	18136	-202	3738	0	0	0	6209	0	0	
3034257																																							11311	5162	87995	0	0	8858	89	8096	672575	622029	9109	631138	0	8429	0	0	41437	903	672575	0	0	45284	0	0	10623	0	164045	457984			0	453365	444936	-15373	29196	0	0	0	41437	0	76932	
3039636																																							43261	9097	45581	0	4137	7628	0	33602	714610	564465	14525	641490	0	8499	62500	0	73120	9717	714610	0	0	48066	0	0	18916	0	205185	359280			0	579089	570590	-3579	0	0	0	0	73120	714	0	
3040418																																							379224	1064	80908	0	0	518	0	51922	857056	751685	13263	764948	0	3569	0	0	92108	0	857056	0	0	40557	0	0	53440	482	438764	312921			0	346507	342938	-1889	0	0	0	0	92108	0	0	
3041358																																							3178	715	19998	0	859	995	131	2203	139739	120195	439	124634	0	1143	4000	0	15105	1500	139739	0	0	5911	0	0	8646	0	24366	95829			0	112459	111316	-952	0	0	0	0	15105	344	0	
3045383																																							0	26642	0	0	0	0	0	45456	164916	0	79148	79148	0	0	0	0	85768	1000	164916	0	0	67731	0	21	17016	0	0	0			0	0	0	0	0	0	0	0	85768	92818	0	
3047659																																							92701	10218	129551	0	26710	35943	104	77021	2359137	1961311	21839	2104656	0	20948	111556	9950	254481	19018	2359137	0	0	49920	0	0	189317	4076	503645	1457666			0	1935323	1914375	-3774	0	0	0	0	254481	103	68335	
3048487																																							99970	7292	135692	0	2855	6730	0	22748	553397	485405	4123	489528	0	3188	0	0	63869	5165	553397	0	0	52944	0	0	15222	0	245702	239703			0	278109	274921	-9462	3180	0	0	0	63869	9	0	
3049635																																							40117	3788	27434	0	0	1651	0	8165	309678	278759	547	279306	0	2416	0	0	30372	2900	309678	0	0	24665	0	0	5600	0	92394	186365			0	230939	228523	-2793	0	0	0	0	30372	0	0	
3052813																																							118126	15760	131552	0	3061	2923	0	29654	1125498	977667	12430	990097	0	11120	0	0	135401	16974	1125498	0	0	92284	0	0	34000	0	321056	656611			0	808811	797691	-7857	0	0	0	0	135401	230	26501	
3066025	54742	0	24989	5	0	0	0	24189	129450	46739	46739	0	0	0	0	82711	2000	129450	0	0	52709	0	0	28000	0		0	0	0	2	0	0	82711	25525	0													0																	0	0							0		0					
3067929																																							17523	2771	16179	0	0	8608	1164	1897	212647	180501	548	181049	0	2252	0	0	31598	2000	212647	0	0	14560	0	0	16000	0	82831	97670			0	166505	164253	-962	252	0	0	0	31598	0	0	
3068579																																							79250	28140	334314	0	0	7667	0	59937	1778447	1621125	22971	1656212	0	11941	0	0	122235	6891	1778447	0	0	125678	0	0	31198	0	336575	1284550			0	1280080	1268139	-41532	1000	0	0	12116	122235	0	0	
3070545																																							6189	6086	170222	0	2672	3615	0	19898	511664	445456	3483	469439	0	3400	20500	0	42225	1400	511664	0	0	30202	0	0	27000	0	80489	364967			0	305817	302417	-16377	565	0	0	0	42225	0	0	
3076220																																							783724	23937	848103	0	0	4020	0	341519	11960063	11126052	50513	11177506	0	30574	0	0	782557	5248	11960063	941	941	270232	0	0	551977	0	420631	10705421			0	7224828	7194254	-44900	0	0	0	0	782557	0	2763565	
3076248																																							980268	2311	301666	0	20475	55683	0	317417	19672298	17879107	315709	18344320	0	103448	0	0	1327978	1000	19672298	4635	4635	341987	0	0	997199	595517	64004	17815103			0	14146249	14042801	-12208	1	0	0	144869	1327978	0	3351524	
3076453																																							337643	89260	209402	0	130610	27666	0	164966	4098937	3481406	43277	3524683	0	41292	0	0	574254	47123	4098937	0	0	55406	0	0	473776	6685	1259730	2221676			0	2990299	2949007	-2051	130676	0	0	0	574254	0	53022	
3076604																																							209008	13687	97243	175	0	6315	0	12891	1313888	1156451	4813	1161264	0	10667	0	0	152624	4625	1313888	0	0	124425	0	0	24625	0	268675	887776			0	984351	973684	-1051	0	0	0	0	152624	0	885	
3089752																																							0	740	12147	0	2416	0	0	1548	17765	0	1377	1377	0	0	0	0	16388	2000	17765	0	0	785	0	0	13168	0	0	0			0	0	0	435	0	0	0	0	16388	914	0	
3090833																																							26168	2063	33994	0	0	600	0	2390	271985	231805	1832	250891	0	2275	17254	0	21094	200	271985	0	0	4608	0	0	18000	191	44319	187486			0	208163	205888	-1714	691	0	0	0	21094	0	0	
3103591																																							8333	1724	37097	0	0	979	0	1487	119893	105666	475	108215	0	943	0	0	11678	2823	119893	0	0	3004	0	0	6587	0	16372	89294			0	71016	70073	-736	200	0	0	2074	11678	0	0	
3109043																																							270476	19151	96472	0	3442	20607	1284	104475	3237415	2771409	32191	2890022	0	29984	86422	0	347393	1489	3237415	0	0	197671	0	0	148803	0	397408	2374001			0	2713999	2684015	-570	5732	0	0	0	347393	2223	29538	
3109146																																							569171	31343	258837	0	19026	14117	0	96141	5081603	4160451	64759	4551181	0	41504	325971	0	530422	1	5081603	0	0	381407	0	0	176792	98079	527418	3633033			0	3994793	3953289	-27778	0	0	0	0	530422	0	41600	
3110197																																							233852	7330	1032	0	209	38703	447	155041	3437870	3107220	49931	3157151	0	18293	0	0	280719	1284	3437870	0	0	187218	0	0	92219	0	225171	2882049			0	3019549	3001256	-2	0	0	0	0	280719	0	0	
3116519																																							52041	535	986	0	0	9837	0	3376	487853	378044	5063	444945	0	1205	61838	0	42908	10	487853	0	0	14737	0	0	28170	0	16739	361305			0	420368	419163	-9	0	0	0	0	42908	0	1915	
3120646																																							295	6409	156785	0	363	14174	0	12663	424569	370186	3965	383109	0	2891	0	0	41460	3264	424569	0	0	35072	0	0	6339	7473	86765	283421			0	228328	225437	-3215	970	0	0	8958	41460	0	0	
3120897																																							8529	7029	41314	0	5746	2722	0	3767	290550	234011	1361	256846	0	2354	0	0	33704	3000	290550	0	0	6186	0	0	24526	0	56342	177669			0	219768	217414	-8	4029	0	0	21474	33704	0	0	
3122994																																							66036	13826	0	0	140	31035	2772	15229	1044031	850855	4030	954885	0	8644	100000	0	89146	6966	1044031	0	0	65694	0	0	16486	5336	229295	621560			0	882603	873959	0	0	0	0	0	89146	0	35698	
