"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ACL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ACL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW CR LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
41629		0	2646	285	220	0	2551	410	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19		
41825		0	9648	1359	10	0	8279	0	0				103	0	-30	0	0	73	0	0	0	0	0	0	0	0	0	28	0	
42037		0	767	74	16	0	724	47	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
42354		0	3438	360	12	0	3102	36	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
42372		0	3634	0	13	0	3639	18	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
42420		0	129605	25242	7910	0	118906	26013	3560				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4478	0	
42448		0	27934	5143	425	0	23523	1157	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	817		
42457		0	584	93	0	0	591	100	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
43052		0	1531	90	0	0	1441	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
43351		0	11262	5350	337	0	9879	4304	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50		
43856		0	714	15	0	0	700	1	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
43959		0	1198	26	3	0	1219	50	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-16		
44040		0	4742	-17	21	0	4745	7	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17		
44433		0	10230	1992	3	0	8255	20	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	
44741		0	5815	262	55	0	5627	129	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5		
44750		0	2089	0	22	0	2081	14	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
44929		0	1226	77	34	0	1152	37	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
45056		0	659	80	0	0	579	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
45458		0	1839	107	38	0	1808	114	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-20		
45551		0	11700	2417	119	0	11068	1904	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		
