"IDRSSD"	RCONG349	RCONG350	RCONG351	RCONG352	RCONG353	RCONG354	RCONG355	RCONG356	RCONG357	RCONG358	RCONG359	RCONG360	RCONG361	RCONG362	RCONG363	RCONG364	RCONG365	RCONG366	RCONG367	RCONG368	RCONG369	RCONG370	RCONG371	RCONG372	RCONG373	RCONG374	RCONG375	RCONHT50	RCONHT51	RCONHT52	RCONHT53	RCONHT54	RCONHT55	RCONHT56	RCONHT57	RCONHT58	RCONHT59	RCONHT60	RCONHT61	RCONK142	RCONK143	RCONK144	RCONK145	RCONK146	RCONK147	RCONK148	RCONK149	RCONK150	RCONK151	RCONK152	RCONK153	RCONK154	RCONK155	RCONK156	RCONK157	RCONMG95	RCONPU98	RCONPU99	RCONPV00	RCONPV01	
	SFP TPS ISS FNC INST HTM FV	SFP TPS ISS FNC INST AFS AMRTZ COST	SFP TPS ISS FNC INST AFS FV	SFP TPS ISS RE INV TR HTM AMRTZ COST	SFP TPS ISS RE INV TRS HTM FV	SFP TPS ISS RE INV TR AFS AMRTZ COST	SFP TPS ISS RE INV TR AFS FV	SFP CORP & SIMILAR LN HTM AMRTZ COST	SFP CORP & SIMILAR LN HTM FV	SFP CORP & SIMILAR LN AFS AMRTZ COST	SFP CORP & SIMILAR LN AFS FV	SFP 1T4 RES MBS I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS I OR G GSE HTM FV	SFP 1T4 RES MBS I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS I OR G GSE AFS FV	SFP 1T4 MBS N I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS N I OR G GSE HTM FV	SFP 1T4 MBS N I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS N I OR G GSE AFS FV	SFP DVRS (MIXED) POOLS SFP HTM AMRTZ	SFP DVRS (MIXED) POOLS SFP HTM FV	SFP DVRS (MIXED) POOLS SFP AFS AMRTZ	SFP DVRS (MIXED) POOLS SFP AFS FV	SFP OTHR CLTRL REF ASSET HTM AMRTZ	SFP OTHR CLTRL REF ASSET HTM FV	SFP OTHR CLTRL REF ASSET AFS AMRTZ	SFP OTHR CLTRL REF ASSET AFS FV	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	MBS CMRL PT SCTY GUAR FNMA HTM AMTRZ	MBS CMRL PT SCTY GUAR FNMA HTM FV	MBS CMRL PT SCTY GUAR FNMA AFS AMTRZ	MBS CMRL PT SCTY GUAR FNMA AFS FV	MBS CMRL PT SCTY OTHR HTM AMTRZ	MBS CMRL PT SCTY OTHR HTM FV	MBS CMRL PT SCTY OTHR AFS AMTRZ	MBS CMRL PT SCTY OTHR AFS FV	MBS CMRL OTHR CMRL GUAR FNMA HTM AMT	MBS CMRL OTHR CMRL GUAR FNMA HTM FV	MBS CMRL OTHR CMRL GUAR FNMA AFS AMT	MBS CMRL OTHR CMRL GUAR FNMA AFS FV	MBS CMRL OTHR CMRL OTHR CMRL HTM AMT	MBS CMRL OTHR CMRL OTHR CMRL HTM FV	MBS CMRL OTHR CMRL OTHR CMRL AFS AMT	MBS CMRL OTHR CMRL OTHR CMRL AFS FV	Amortized cost of available-for-sale	Structured financial products guaran	Structured financial products guaran	Structured financial products guaran	Structured financial products guaran	
618777																												0	0	0	0	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
618807																												814466	721459	321728	305960					0	0	0	0	0	0	56710	56557	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
619701																												0	0	82530	77357	0	0	102850	94181	0	0	1087	1016	0	0	22351	21714	0	0	0	0	0	0	18258	16383	0	0	0	0		0	0	1087	1016	
619859																												0	0	20790	18363	0	0	3618	3152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
619877																																																													
621151																												0	0	33950	32494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
621357																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
621441																												0	0	23404	22245	0	0	47344	44868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
622037																												0	0	3929	3870	0	0	10139	9985	0	0	0	0	0	0	11383	11325	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
622774																												0	0	0	0	0	0	76794	71341	0	0	26	26	0	0	461	448	0	0	0	0	0	0	8757	6691	0	0	0	0		0	0	26	26	
623052																												0	0	291186	291480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
623454																												0	0	3940	3846	0	0	77000	67351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
623548																												0	0	1500	1460	0	0	4687	4198	0	0	328	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	328	325	
623874																												15105	13526	7836	6978	9554	8697	7688	6913	0	0	0	0	0	0	152	149	0	0	0	0	0	0	1402	924	0	0	0	0		0	0	0	0	
624246																												0	0	0	0	0	0	8139	7748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
624648																												0	0	2383	2223	0	0	5959	5670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
624778																												0	0	11000	10641	0	0	22763	22297	0	0	6162	6170	0	0	1236	1256	0	0	0	0	0	0	6559	5894	0	0	0	0		0	0	6162	6170	
624956																												5998	5781	0	0	4321	4310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
625056																												0	0	17903	17883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
625065																												0	0	91	83	0	0	54860	49171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
625159																												0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
625654																												198696	194871	0	0					1655	1657	0	0	25343	24726	30685	31040	0	0	0	0	0	0	0	0	0	0	0	0		1655	1657	0	0	
625757																												0	0	24829	25050	0	0	5697	5765	0	0	0	0	0	0	16966	17222	0	0	0	0	0	0	1929	1920	0	0	0	0		0	0	0	0	
625850																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
625953																												0	0	3981	3872	0	0	21477	19535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
