"IDRSSD"	RCFD0010	RCFD0022	RCFD0070	RCFD0082	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0080	RCON0082	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BALANCES WITH BKS IN FGN COUNTRIES	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	
375043						38405	6140	0	13617	1232	17416	
375379												
375502												
375566												
375650												
376237												
376273						276889	5	0	11465	8868	256551	
376442						9450	2551	0	1585	1564	3750	
376947												
377663												
377850												
378044												
378110												
379050												
379153												
379470												
379649												
379920						2410001	252732	25460	172035	90421	1869353	
380346												
380458												
380533												
380878												
380944												
381026												
381932												
381950												
382050						81355	50	92	4453	29412	47348	
382069						13442	2257	0	8428	2757	0	
382256												
382274												
382443												
382537												
382649												
382658												
382742												
382854												
384018												
384278						123721	15623	0	11013	14053	83032	
384353												
384652												
384830												
385350												
385471												
385547												
385686												
386432												
386450						8828	154	0	996	6235	1443	
386731												
386825												
387055												
387671												
388155												
388258												
388557												
388744												
388753												
388874												
389358												
389376												
390372												
390840												
391418												
391557												
391575	201863	6589	0	6232	189042	198781	123	0	3484	6132	189042	
391959												
391977												
392152												
392255												
392778												
393252												
393355												
393953												
394156												
394259												
395238						2186877	241114	0	150392	144144	1651227	
396057												
396244						18294	0	0	4679	934	12681	
396253												
396954												
397456												
397531												
397540						170338	24881	0	19906	3717	121834	
397559												
397755												
397858												
398051												
398248						45605	0	0	2441	683	42481	
398668	241595	0	0	14562	227033	241595	0	0	0	14562	227033	
398837												
399357												
399517						433016	49089	0	25841	6143	351943	
399731												
399973												
400057												
400141												
400365												
400767												
401072												
401559												
401755												
401906												
401951												
402846												
402873												
403067												
403151						91113	33948	0	13852	23436	19877	
403179												
403254												
403656												
403870												
403946												
404653												
404943												
406022												
406059												
406666												
406974												
407168												
407506												
407645												
407850												
408307						41708	1809	0	2541	2950	34408	
408642												
408875												
409265												
410159												
410560												
410748						79380	1124	0	845	290	77121	
410917												
411062												
411174												
411231												
411240												
411549												
411576												
411624												
411651												
412153												
412452												
412555												
412667												
412751						1127579	26408	0	157766	49030	894375	
412845												
412872												
413141						285426	5361	0	366	74717	204982	
413208	25039417	326845	835884	64375	23812313	25039319	209929	835786	116916	64375	23812313	
413347												
413543												
413646												
413673												
413758												
414102												
414652												
414764												
414858												
416245						385310	112926	1	55990	72701	143692	
416272												
416339												
416357												
416656												
416674												
417626												
417710												
418100												
418249												
418436												
419406						98138	38721	0	46532	11754	1131	
419675												
419947												
420578												
420644												
420877												
421445												
421539												
422116												
422433						753879	0	0	10664	14779	728436	
422657												
423159												
423449												
423636												
423739												
424156												
424240												
424352												
424437												
425050												
425108												
425818												
425845												
425911												
426057												
426141												
426534						155133	3905	0	17752	5043	128433	
426758												
426945												
427241												
427353												
427858												
427960												
428060												
428462												
428547						195474	15114	0	3250	9775	167335	
428855												
429021												
429487												
430036						25327	182	0	4372	10073	10700	
430054												
430344												
431323												
431350												
432058												
432432												
433505						51849	6326	0	3129	2894	39500	
433608						193293	8886	0	13943	18196	152268	
433859												
433943												
434203						90980	2727	0	1661	888	85704	
434539												
435059												
435077						120599	704	11349	0	26551	81995	
435255												
435666												
435750						60666	7885	0	12550	1664	38567	
436159						996582	846	0	40165	309446	646125	
436542												
436739												
436953												
437044												
437914						1565778	111554	7571	401441	13266	1031946	
439132						73049	0	0	5633	11764	55652	
439338						356776	0	0	13283	100719	242774	
439356												
439404						38832	20055	0	10985	907	6885	
439730												
440857												
440978												
441050												
441078												
441135												
441256						39555	27001	0	7991	807	3756	
441359												
441470												
441630												
442011												
442057												
442244												
442655												
443148												
443205												
443353												
443625												
443634												
444350												
444556												
444677												
445674												
445955												
446130												
446149												
446176												
447070												
447100						57485	6414	0	4363	17934	28774	
447557												
448040												
448554												
449038												
449430												
449832						15435	71	0	2761	6128	6475	
449935												
450632												
450669												
450856						75194	28277	0	23875	7007	16035	
450959												
451068												
451246												
451273						10390	38	0	793	9559	0	
451965	172498000	30150000	22456000	2335000	117557000	152695000	19284000	2653000	10866000	2335000	117557000	
452159												
452739												
452841												
453147												
453446												
454546												
454658												
454676												
454975												
455150												
455253						43702	0	0	1233	869	41600	
455459												
455552												
455945												
455972						266533	20433	0	5893	4629	235578	
456045						794916	0	0	90211	216065	488640	
456054												
456344												
456755						9390	241	0	2468	34	6647	
457060												
457220												
457426												
457752												
458142												
458544												
458665												
458946												
459130												
459372												
459644												
459671						344516	0	0	3257	34936	306323	
460033						429455	3099	0	37779	18801	369776	
460275												
460332												
460350												
460556												
460770												
461058												
463605												
463650												
463735						1361547	301063	199	208662	9486	842137	
464853												
465038												
465243												
465524												
465618												
465672												
466044						5362	0	0	5362	0	0	
466240												
466754												
466932												
467144												
467470												
467658												
467733												
468673												
468806												
469250												
469559												
469737												
470032												
470050						639044	133692	0	76144	59636	369572	
470434												
470452						35944	11234	0	11120	3479	10111	
471057												
472018												
472045												
472148												
472250						16371	1	0	54	16316	0	
472531												
