"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
174321	0	0					212	0	29130					0	0	0			0	18767	0	0										0		
174367	0	0					345	9945	16473					0	0	0			945	0	0	0										0		
174572	0	368891					68393	399277	1080229					1291030	0	0			0	1975	0	0										7637		
175056	0	0					779	0	16628					0	0	0			0	14128	0	0										0		
175140	0	0					3291	0	168971					22297	0	0			0	54148	0	8761										0		
175458	0	0					220	9853	5543					0	0	0			3290	0	0	0										0		
175609	0	4948					226	9588	88825					0	0	0			9588	34642	0	0										0		
176101	0	0					6916	0	426630					32500	0	0			0	81638	0	0										0		
176325	0	0					1008	0	53846					12300	0	0			0	21539	0	0										90		
176437	0	0					264	0	26457					0	0	0			0	11050	0	0										0		
176464	0	0					1557	2595	343008					0	0	0			595	34263	0	48221										0		
176642	0	9470					2505	0	16877					4000	0	0			0	1694	0	0										0		
177135	0	0					33	15854	0					0	0	0			1054	0	0	0										0		
177443	0	0					572	0	103708					0	0	0			0	67338	0	1905										0		
177500	0	0					106	0	0					0	0	0			0	0	0	0										0		
177555	0	0					228	0	7583					2000	0	0			0	25	0	0										0		
177751	0	0					5350	0	64510					0	0	0			0	0	0	0										0		
177920	0	0					8565	0	155855					109254	0	0			0	124373	0	0										0		
178150	0	0					101	338	99986					0	0	0			0	30749	0	0										0		
178244	0	4810					2404	0	29656					7	0	0			0	1770	0	0										0		
178356	0	0					815	42648	9483					0	0	0			20878	4529	0	0										0		
178851	0	37719					845	0	260528					0	0	0			0	91730	0	0										42		
179148	0	26191					757	0	33422					8250	0	0			0	6361	0	0										0		
179335	0	0					386	0	84613					0	0	0			0	26484	0	0										0		
179700	0	0					4938	0	147673					114500	0	0			0	12118	0	1009										9624		
180144	0	493					348	2000	39672					0	0	0			0	9361	0	0										0		
180845	0	0					1713	0	44003					16500	0	0			0	13702	0	3207										0		
181963	0	16226					182	0	45590					0	0	0			0	15454	0	0										0		
182951	0	0					1372	0	83307					0	0	0			0	49106	0	0										0		
183668	0	14698					4970	0	117225					0	0	0			0	0	0	0										2666		
183770	0	0					3161	0	82184					70052	2186	2186			0	10106	0	0										0		
183958	0	13502					971	0	82790					9900	0	0			0	46402	0	0										0		
184656	0	33017					80	0	127544					0	0	0			0	0	0	0										0		
184759	7393	0					210	19830	0					0	0	0			7480	0	0	0										2277		
185251	0	754					57	0	12291					0	0	0			0	7707	0	0										0		
185448	0	0					415	0	37436					12672	0	0			0	27807	0	0										2		
185859	0	0					2795	290586	21744					75000	0	0			0	0	0	3306										0		
186717	0	0					669	0	240144					0	0	0			0	85736	0	0										0		
