"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1545	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDJ451	RCFDJ454	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCFDPV05	RCFDPV06	RCFDPV07	RCFDPV08	RCFDPV09	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLE75	RCONLG24	RCONLG25	RCONPR04	RCONPR05	RCONPR06	RCONPV05	RCONPV06	RCONPV07	RCONPV08	RCONPV09	RIADG377	
30052																																																																				0	365	786		214			2303	0		0	35128	0	0	0	4352	0	0	9019	367	243	1642	1883	0	217	15767	4762	3606	5564	1076	0				0	0			3277	7244	10225	5748			0			0	0													0	34520	0	0	0	0		0	6	0	25	0	0	0	0	0			0	0		0	0	583	0	0	CONF	CONF	0	0	0						0	
31134																																																																				0	5821	0		9818			14093	414		0	145557	0	0	0	70826	3609	63007	27262	941	3378	18214	32970	5039	10284	11597	12210	15914	23228	11155	497				453	2			1798	2293	10126	1291			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		53933				0		0	413	0	11814	0	0	0	0	0			0	0	0	0	0	12786	0	0	CONF	CONF	0	0	0							
31255																																																																				0	859	7312	0	0	140644	0	140644	15381		96655	1018545	1872	0	3077	221567	41295	209454	252555	7316	28862	29877	85598	64326	5541	374861	146354	120626	71234	69597	15657	0	0	0	0	0	0		39597	85283	116069	177760	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	845767				0	20	53135	20	0	6	0	0	0	0	0	0	0	0	0	0	0	0	24834	0	0	CONF	CONF	0	0	0						0	
31657																																																																				0	11065	0		3592			9469	102		213	69267	0	0	0	26456	663	24897	9804	0	531	5983	12592	1259	6091	2677	6639	8261	17913	2516	4805				0	0			2166	4183	4368	1787			0			0	0														0	0	0	0	0		0	44	0	2121	0	0	0	0	0			0	0	0	0	0	3038	0	0	CONF	CONF	0	0	0							
31826																																																																				0	7494	32520	0	1709	21730	0	21730	9949		16074	398168	0	0	0	147211	535	4964	73516	10383	3966	16995	25833	37484	52551	61079	15537	61945	71172	38386	2663	0	0	0	0	22	0		11011	23212	65301	42573	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		145293				0	9145	0	9145	0	3380	0	0	0	0	0	0	0	0	0	0	0	0	6302	0	0	CONF	CONF	0	0	0							
31835																																																																				0	13865	0		54144			10979	0		569	95291	0	0	0	9545	23	1176	44874	292	1731	1251	4402	1467	0	31008	13979	12706	7215	16043	784				0	0			63	3	0	1350			0			0	0														71920	0	0	0	0		0	0	0	1668	0	0	0	0	0			0	0	0	0	0	3082	0	0	CONF	CONF	0	0	0							
32234																																																																				0	25885	1487		14289			29935	466		2103	143180	0	0	0	38249	250	356	26575	2790	8047	11565	12006	3841	0	12563	8544	30573	34361	12960	5930				0	0			797	1090	12636	13713			0			0	0														0	0	0	0	0		0	92	0	541	0	0	0	0	0			0	0	0	0	0	1647	0	0	CONF	CONF	0	0	0							
32766																																																																				0	0	5529		0			61404	3632		0	253144	0	0	0	51395	3879	25399	48315	6848	5233	3574	15177	15724	4839	52232	18644	51892	72930	4690	1362				0	4116			23887	12835	31120	51792			0			0	0														65780	0	0	0	0		0	1855	0	72	0	0	0	0	0			0	0	0	0	0	1628	0	0	CONF	CONF	0	0	0							
32971																																																																				0	7399	17798		3315			16636	35708		4454	378709	364	0	0	174439	2325	111941	13538	1109	4105	4763	17639	23468	122643	47258	4775	27652	66806	28802	29059				0	0			7138	11216	47607	48412			0			320	70													0	169696	0	0	0	538		0	0	0	1386	0	0	0	0	0			208	0	208	0	0	1240	10	41	CONF	CONF	0	0	0						0	
33147																																																																				0	49481	7580		70456			64766	0		3178	465098	0	0	0	111058	8339	6055	215518	12417	17442	50793	25497	2336	845	115879	69780	89096	46388	10788	16659				0	0			17262	14703	54990	44823			0			544	373														460602	90973	92909	0	1046		0	2086	0	11584	0	0	0	0	0			295	295	0	0	0	4792	207	0	CONF	CONF	0	0	0							
33259																																																																				0	7163	51207		0			77577	17793		13975	852355	0	0	0	94274	14117	4280	283821	8779	21802	47059	15325	1308	0	187188	170055	196185	196100	8105	0				0	47			34177	81736	203201	252310			0			232	0													0	143087	0	0	0	8524		0	1750	0	442	0	0	0	0	7905			0	0	0	0	0	2586	387	0	CONF	CONF	0	0	0						0	
