rssd_id,total_equity_capital,total_equity_capital_usd,bank_name
651158,13457.0,13457000.0,NORTHEAST MISSOURI STATE BANK
266655,13415.0,13415000.0,FIRST BANK AND TRUST OF FULLERTON
575133,13396.0,13396000.0,"PEOPLES BANK, THE"
391418,13392.0,13392000.0,FIRST & PEOPLES BANK AND TRUST COMPANY
729945,13380.0,13380000.0,CITIZENS BANK AND TRUST COMPANY
788652,13374.0,13374000.0,WOODLAND BANK
198073,13372.0,13372000.0,FIRST FEDERAL SAVINGS AND LOAN BANK
1007051,13369.0,13369000.0,TPNB BANK
654579,13349.0,13349000.0,"PEOPLES COMMUNITY BANK SB OF MONTICELLO, INDIANA"
1007930,13344.0,13344000.0,IROQUOIS FARMERS STATE BANK
314444,13334.0,13334000.0,FBT BANK & MORTGAGE
742542,13324.0,13324000.0,FIRST COMMUNITY BANK
141677,13322.0,13322000.0,FIRST SAVINGS AND LOAN ASSOCIATION
472045,13310.0,13310000.0,HOME STATE BANK
376237,13307.0,13307000.0,MERCHANTS & FARMERS BANK OF GREENE COUNTY
265452,13307.0,13307000.0,"STOCKGROWERS STATE BANK, THE"
381950,13306.0,13306000.0,"FIRST NATIONAL BANK OF SAINT IGNACE, THE"
45056,13285.0,13285000.0,PLATTE VALLEY BANK
248352,13275.0,13275000.0,WESTERN NEBRASKA BANK
1225752,13267.0,13267000.0,COMMERCIAL BANK
531157,13229.0,13229000.0,"BANK OF PROTECTION, THE"
816256,13219.0,13219000.0,"FIRST NATIONAL BANK OF HOOKER, THE"
875655,13218.0,13218000.0,CITIZENS STATE BANK NORWOOD YOUNG AMERICA
597658,13216.0,13216000.0,FIRST STATE BANK OF FORSYTH
519445,13214.0,13214000.0,PEOPLES BANK
911339,13206.0,13206000.0,"FIRST NEIGHBORHOOD BANK, INC."
276551,13199.0,13199000.0,FIRST NATIONAL BANK OF HUGO
581237,13191.0,13191000.0,BANK OF PENSACOLA
70218,13187.0,13187000.0,UNITED ORIENT BANK
586960,13178.0,13178000.0,PEOPLES STATE BANK
536853,13178.0,13178000.0,WALTERS BANK AND TRUST COMPANY
316859,13177.0,13177000.0,"EXCHANGE BANK, THE"
567736,13158.0,13158000.0,FARMERS STATE BANK & TRUST COMPANY
660253,13156.0,13156000.0,STATE BANK OF TABLE ROCK
232847,13121.0,13121000.0,FIRST STATE BANK SHANNON-POLO
814074,13108.0,13108000.0,"FIRST FEDERAL BANK, A FSB"
380346,13073.0,13073000.0,FARMERS SAVINGS BANK
817477,13072.0,13072000.0,UNION SAVINGS BANK
952257,13047.0,13047000.0,"STATE BANK OF WYNNEWOOD, THE"
483537,13040.0,13040000.0,PNB COMMUNITY BANK
304520,13038.0,13038000.0,CHESAPEAKE BANK & TRUST COMPANY
697035,13028.0,13028000.0,COVINGTON COUNTY BANK
256076,13028.0,13028000.0,"RG BANK, A SAVINGS AND LOAN ASSOCIATION"
380944,13010.0,13010000.0,"BANK OF KAUKAUNA, THE"
489155,12999.0,12999000.0,CITIZENS STATE BANK
3626184,12974.0,12974000.0,TURTLE MOUNTAIN STATE BANK
988452,12963.0,12963000.0,FIRST BETHANY BANK & TRUST
1470150,12954.0,12954000.0,FIRST FARMERS & MERCHANTS NATIONAL BANK
398051,12947.0,12947000.0,FARMERS AND MERCHANTS BANK OF ASHLAND
5691319,12944.0,12944000.0,SCOTTSDALE COMMUNITY BANK
388874,12920.0,12920000.0,GUNNISON SAVINGS AND LOAN ASSOCIATION
258379,12915.0,12915000.0,"TAYLORSVILLE SAVINGS BANK, SSB"
955753,12896.0,12896000.0,RIVER FALLS STATE BANK
259956,12887.0,12887000.0,"STATE SAVINGS BANK OF MANISTIQUE, THE"
362940,12851.0,12851000.0,STATE BANK OF ST. JACOB
474656,12830.0,12830000.0,COREBANK
499154,12825.0,12825000.0,HOME LOAN STATE BANK
476445,12823.0,12823000.0,BANK OF LAKE VILLAGE
