"IDRSSD"	RCON8725	RCONA126	RCONC391	RCONFT00	RCONFT01	RCONFT02	RCONFT03	RCONFT04	RCONFT05	RCONFT06	RCONFT07	RCONFT08	RCONFT09	RCONFT10	RCONFT11	RCONFT12	RCONFT13	RCONFT14	RCONFT15	RCONFT16	RCONHK18	RCONHK19	RIADC388	RIADC389	RIADC390	RIADF551	RIADF553	
	TOTL INT RATE CONTRCS-MKD TO MARKET	TOTAL INT RATE CONTRACTS TRADING	OTSTDNG CRED CD FEES & FIN CHGS	DOES THE INSTITUTION HAVE ANY DERIVA	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	FOR THE TWO CALENDAR QUARTERS PRECED	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	DOES THE INSTITUTION USE THE FAIR VA	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION SERVICE ANY CLO	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY CONSOL	TOTAL ASSETS OF CONSOLIDATED VARIABL	TOTAL LIABILITIES OF CONSOLIDATED VA	DOES THE INSTITUTION, TOGETHER WITH	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	UNCOLLBLE CRED CRD FEE&FIN CHGS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW CR LN&LSE LOSS CC/FIN CHGS	NET GAINS(LOSS) ERN RPT AT FV	NET GN LS ERN ON LIABILITY RPT AT FV	
104234				false			false			false	false		false		false		false			false								
104542				false			false			false	false		false		false		false			false								
104971				false			false			false	false		false		false		false			false								
105026				false			false			false	false		false		false		false			false								
105473				false			false			false	false		false		false		false			false								
105530				false			false			false	false		false		false		false			false								
106359	50000	27276																										
106452				false			false			false	false		false		false		false			false								
106676				false			false			false	false		false		true	13071	false			false								
107244	418898	0						14753	5220																			
107570				false			false			false	false		false		true	171481	false			false								
107758				false			false			false	false		false		false		false			false								
108072				false			false			false	false		false		false		false			false								
108269				false			false			false	false		false		false		false			false								
108652				false			false			false	false		false		false		false			false								
108746				false			false			false	false		false		false		false			false								
108951				false			false			false	false		true	4723	false		false			false								
109136				false			false			false	false		false		false		false			false								
109154				false			false			false	false		true	16	false		false			false								
109453				false			false			false	false		false		false		false			false								
109574				false			false			false	false		true	8300	true	9146	false			false								
109659				false			false			false	false		false		true	111113	false			false								
110413	0	0																										
110936				false			false			false	false		false		false		false			false								
110945				false			false			false	false		false		false		false			false								
110972				false			false			false	false		false		false		false			false								
111157	0	0						0	0																			
111205	75166	0		true	850	-3	false			false	false		true	10353	true	83960	false			false								
111942	2870	0		true	0	0	false			false	false		true	113536	true	286521	false			false								
112332				false			false			false	false		false		false		false			false								
112510				false			false			false	false		false		false		false			false								
112556				false			false			false	false		false		false		false			false								
112837								0	0														1034000	0	1068000			
113003	0	0																										
113030				false			false			false	false		false		false		false			false								
113441				false			false			true	false		false		true	38736	false			false	349	0				-11	0	
113601				false			false			false	false		false		false		false			false								
113740	45137	0						33983	11923																			
114149				false			false			false	false		false		false		false			false								
114260	11756	0						14809	4251																			
114457				false			false			false	false		false		false		false			false								
114774	3401	0		true	0	0	true	8621	1091	true	false		false		true	466808	false			false	1011	0				-32	0	
