"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJA29	RCFDJF76	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJA29	RCONJF76	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL59	RCONLL60	RCONMM07	RCONMQ52	RCONN523	RCONN524	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
362043																														0	0	0	0	0	0		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0					www.theexchangestatebank.com																www.exchangestatebank.net	
362155																														0	0	0	0	0	0		0	0	0	0	0	2959	2	0			0	0	0	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					http://www.fnbanderson.com	
362717																														23325	0	120000	22416	909	145000		0	0	0	0	0	23744	3	909	true	0	0	120000	25000	0	0	0	0	0	0	0	0	0	false	false	0	0	0					0	0	0	0	0	0																					https://www.croghan.com	
362856																														0	0	0	0	0	0		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0			0	0						0	0	0	0	0	0					www.firstpresidio.com	The Marfa National Bank		1st Presidio Bank													www.marfanb.com	
363442																														0	0	0	0	0	0		0	0	0	0	0	594	0	0			0	0	0	0	0	0	0	0	0	0	0	0			0	0						0	0	0	0	0	0																						
363648																														1470	0	0	1374	0	0		0	0	0	0	0	389	0	0			0	0	0	0	0	0	0	0	0	0	0	0			2	96						0	0	0	0	0	0					www.securitybankstormlake.com																www.securitybanksl.com	
363657																														920	1800	41475	0	920	41475		1800	0	0	0	0	3419	2	1645	true	0	0	41475	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0					0	0	0	0	0	0																					www.fnbbemidji.com	
363778																														223	0	6000	0	223	6213		0	0	0	0	0	346	0	223			0	6000	213	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					www.peoplesfirstohio.com	
364131																														0	0	0	0	0	0		0	0	0	0	0	2868	5	0			0	0	0	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					www.greatoaks.bank	
364270	562	0	0	0	562	0		2254	1	945	false	0	0	0	0	0	0	0	0	0	0	0	0		0	0			0						0		0	0	0	0	0																0		false	false								0	0	0	0	0	0																					www.bankpacific.com	
364430																														0	166	0	0	0	10000		0	0	166	0	0	2358	2	0			0	0	10000	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					http://www.bsf.net	
364850																														0	56	0	0	0	1979		0	0	0	0	56	262	0	0	false	0	0	0	414	1565	0	0	0	0	0	0	0	0	false	false		0	0					0	0	0	0	0	0																					www.fsbbigfork.com	
365325																														2065743	10390	250000	2035314	0	250000		700	0	7032	0	2658	64967	7	0	true	0	0	250000	0	0	0	0	0	0	0	0	0	0	true	true	5826	30429	0					9	977	0	0	0	0																					www.bankwithunited.com	
365745																														5037	0	0	5037	0	0		0	0	0	0	0	56	0	0			0	0	0	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					www.bankpinnacle.us	
