"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
59754																				1464	444	5273		1393				1972					0	0	0	0				
60330																				1343	2169	33498	3350	5856				3826	1572				0	13551	0	6753				
60545																				519	183	3821		99				3020					0	0	0	0				
60554																				192	0	2478		35				1580					0	671	0	0				
60648																				712	3113	13721		490				1869					0	6524	0	1013				
61122																			2692	1621	8534	100732	3180	32388	20036			8064					0	50125	0	0	Pension asset			
61355																				5253	4765	52509		8560				7588					0	26343	0	0				
61757																				1223	1118	15658	199	359			160	2112					0	10846	0	0			Debit Card Settlement	
61832																				1403	3578	19193		930				2235					0	5716	0	5331				
61953																				277	0	856		41				538					0	0	0	0				
62044																				286	0	4270		2240				1030					0	714	0	0				
62110																				126	468	698		74				30					0	0	0	0				
62147																				747	0	3372		209				447					0	1969	0	0				
63050																				1298	2926	15676		682				2402					0	8368	0	0				
63069	0	448531	364297	2769873	0	1071512	449327	0	0	422114	0	0	0	0	0	111370	352049	0		448531																	Affordable Housing Investments commitment			
63201																				566	1530	6833		1094				1126					0	2517	0	0				
63573																				2320	1609	9960		4020				2011					0	0	0	0				
63733																			37	5565	7530	60324	1550	6654	3313			8782		223			0	26450	0	5343	Insurance Annuity Asset			
64552																				2208	1660	12582	784	2211				1125			800	432	0	5378	0	0				
64730																				219	2278	4301		453				1351					0	0	0	0				
65205																				859	4112	59316		2566				3488					0	33896	0	14395				
65559																				609	6147	27631	663	904				6502		141			0	13469	0	0				
65858																				3079	1909	45742		12584				11253					0	15251	0	1666				
66154																				1369	352	10378		1038				1382					0	5995	0	242				
66275																				2433	2045	14048		3571				4369					0	1630	0	0				
67142																				2625	0	4406		946				835					0	0	0	0				
67151																				657	0	6263		2387				3219					0	0	0	0				
67209																				8362	13752	46761		591				4431					0	19625	0	0				
67254																				0	0	172		148				24					0	0	0	0				
67656																				937	13707	27646	818	2637				7196					0	3169	0	0	NET CURRENT TAXES			
68671																				115	0	7006		5320				1571					0	0	0	0				
68756																				1750	0	26834	1149	6044				9185	4358				0	9855	0	0				
68831																				1114	354	6524		247				1167					0	3642	0	0				
69333																				3792	0	51309	1573	3505	1649			7141					0	36871	0	0	Right of Use Lease Asset			
69678																				1034	1719	9019		3165				3101					0	0	0	0				
70218																				679	310	6991		5554	5068			448					0	0	0	0	Right of Use Asset			
70638																				1982	0	12426		1276				4564					0	3240	179	1185				
70955																				0	0	615		129				486					0	0	0	0				
71073																				2579	280	8147		724				585					0	1353	0	2626				
71457																				3671	1880	20789		1879				5717					0	7642	0	0				
71859																				149	320	1169		652				48					0	0	0	0				
72258																				654	0	9229		894				7681					0	0	0	0				
72351																				121	0	741		104				516					0	0	0	0				
72454																				111	478	1662		282				791					0	0	0	0				
72678																				2173	7503	34855		1875				2401					0	20903	0	0				
73116																				544	4182	14631		1714				1987					0	6204	0	0				
73152																				571	0	6092		65				1107					0	3559	0	790				
73554																				3803	0	14890		1068				6290					0	3729	0	0				
73956																				222	59	1765		44				367					0	1073	0	0				
74056																				279	0	7448		3060				2463					2	1644	0	0				
74140																				8313	2900	80387	3473	13514	6070			9486					0	17577	26581	2016	Investment in Low Income Housing			
74403																				3560	6669	34224	1821	3422				3864					0	16709	0	0				
74449																				25	0	157		34				98					0	0	0	0				
75259																				1395	1614	31514		3722				4638					0	19345	0	800				
75446																				4037	7	17063		445				3709					0	8865	0	0				
75455																				0	0	486		0				486					0	0	0	0				
75633	0	3176137	1778320	11551406	330792	1167314	0	0	0	855681	0	463319	307354	0	0	1770707	2319603	483644																						
75651																				530	167	3827		244				799					0	2087	0	0				
76153																				654	0	2017		355				839					0	169	0	0				
76443																				214	0	951		185				552					0	0	0	0				
76854																				2129	3829	22257		1651				2692					0	8873	0	3083				
77150																				91	0	1007	16	54				862					0	0	0	0				
77253																				1753	4758	31523		5225				2978					0	16809	0	0				
77422																				701	833	9563		2644				456					0	2592	0	2337				
77851																				21626	8580	173995		33099	20366			22103					0	88587	0	0	Tax Credits Receivable			
78157																				100	0	473		107				266					0	0	0	0				
78241																				299	490	1703		89				825					0	0	0	0				
78559																				87	0	869		130				652					0	0	0	0				
79042																				2910	3265	20654		199				5100					0	9046	0	134				
79127																				334	0	4305		315				541					0	3115	0	0				
79145																				2334	499	4521		392				1296					0	0	0	0				
79257																				0	0	612		312				300					0	0	0	0				
79855																				481	0	2681		883				1317					0	0	0	0				
80150																				447	19	25442		2766				9670					0	11554	0	986				
80374																				420	458	10063		795				739					0	7651	0	0				
80431																				97	162	788		99				430					0	0	0	0				
81175																				1939	820	13304		2844				3431					0	4270	0	0				
82033																				1900	868	15522		3693				1141					0	7920	0	0				
82257																				92	31	601		38				440					0	0	0	0				
82350																				71	671	3023		170				597					0	1514	0	0				
83375																				1539	0	47252		6989				5366					0	30497	0	2861				
83638		58048	41142	489479		90291				36790	30865				0	263208	0	0		58048																				
83834																				1514	0	6285		569				1055					0	3147	0	0				
83852																				27	76	497		116				278					0	0	0	0				
83955																				296	400	4351		237				1636					0	1782	0	0				
84541																				7675	11836	81613		3763				16363					0	19962	0	22014				
85052																				493	3994	7462		365				854					0	1756	0	0				
85472																				126767	43266	581945		91598				48665	60317				0	113292	111321	47036				
85931																				1722	1573	7099		347				1075					0	2382	0	0				
86349																				1569	0	9094		3574				3951					0	0	0	0				
86675																				7165	7825	34624		1532				945					0	15354	1803	0				
87047																				446	2096	9223		223				766					0	5692	0	0				
87234																				2064	2824	36600		10590				2887					0	16846	0	1389				
87476																				2585	660	10099		1321				655					0	4878	0	0				
87579																				2051	2858	29152		6507		3575		2321					0	10737	0	4678		Defined benefit pension plan asset		
88231																				5526	6477	53838		6591				5750					0	29494	0	0				
88259																				378	0	3086		64				758					0	1886	0	0				
88352																				83	0	9832	121	232	10	97		1894		4			0	6303	0	1320	Bedias Mineral Interests, Inc - Subsidiary	Right-of-Use Assets		
88455																				2974	2853	28409		3184				9201					0	8260	121	1816				
89032																				611	187	4475		457				940					0	2110	0	170				
89135																				170	0	3316		280				302					0	1206	0	1358				
89854																				647	44	5180		416				876					0	3197	0	0				
89957																				1000	902	4518		461				772					0	1383	0	0				
90047																				0	0	386		99				287					0	0	0	0				
90177																				2333	0	10538		1560				1348					0	1365	0	3932				
90328																				3812	3483	53551		14683				4515					0	24996	177	1885				
90337																				3034	0	23569		2080				1950					0	16505	0	0				
90579																				2998	4124	19401		1817				2443					0	6927	0	1092				
91615																				325	777	4994		453				699					0	2740	0	0				
91950																				322	207	3847		135				643					0	2540	0	0				
92144																				79	233	1941		7				381					0	1241	0	0				
92676																				3517	2857	33180	2045	2721				2813					0	17751	0	3521				
92706																				490	4618	19707		2185				1290					0	5089	0	6035				
92902																				48	0	356		193				115					0	0	0	0				
93244																				5115	0	14352		631				2454					0	6152	0	0				
93543																				2517	2207	25634		6498				3609					0	7008	0	3795				
93619	0	118	3	6773	0	6652	0	0	0	0	0	0	6652	0	0	0	0	0																						
94139																				9950	2556	43341		3439				2715					0	24681	0	0				
94522																				1302	3513	40291		3282				4253					0	21121	2384	4436				
94755																				482	1811	10224		59				2304					0	5568	0	0				
94858																				251	0	2583		53				2279					0	0	0	0				
95051																				4133	0	7288		1813				1342			1593		0	0	0	0				
95677																				657	578	1916		300				381					0	0	0	0				
96553																				1025	0	3837		646				2166					0	0	0	0				
97055																				4027	1222	14794		1300				8245					0	0	0	0				
97279																				244	151	1515		273				347					0	0	500	0				
97457																				773	0	5073		243				1876					0	1532	0	649				
97804																				15442	6261	74055		19692				4410					0	28250	0	0				
97943																				1896	189	7417		193				5139					0	0	0	0				
98351																				259	670	5193		814				785					0	2665	0	0				
98463																				2300	13511	44225		1756				3809					0	20238	1561	1050				
98717																				547	1034	8171	348	358				1018					0	5214	0	0				
99143																				905	2272	15208		1236				2794					0	6091	0	1910				
99376																				11346	3613	68542	3642	32980			1	20603	11694		17643		0	0	0	0			Miscellaneous Assets	
99442																				1230	6751	38806		4165				8124					0	16985	0	1551				
99536																				1347	1198	29699		3870				5235					0	3392	0	14657				
99853																				0	653	1091		194				244					0	0	0	0				
100236																				448	0	7946		649				1728					0	5121	0	0				
100357																				5208	0	42767		1815				8106					0	24544	3094	0				
100562																				19978	99619	431478		141150	119198			32661					0	138070	0	0	Low income housing funds			
100777																				1907	3328	33994		1615				3321					0	23823	0	0				
100843																				6562	0	20754		3031				4899					0	4071	0	2191				
101037																				656	10032	19595		4484				4423					0	0	0	0				
101439																				200	0	2929		776				1953					0	0	0	0				
101671																				1449	3886	41432		10968	8268			3122					0	22007	0	0	capital lease assets			
101738																				1262	0	7076		402				1588					0	3824	0	0				
101952																				1527	0	6616		108				658					0	3622	0	701				
102333																				0	712	1255		224				319					0	0	0	0				
